ticket_id,department_id,request_type,priority,opened_date,closed_date,sla_target_days,status
T000001,D012,IT Access,Low,2025-09-05,2025-09-09,7,Closed
T000002,D007,Benefits Question,Low,2025-10-31,,7,In Progress
T000003,D005,System Support,Low,2025-06-28,2025-07-01,7,Closed
T000004,D008,Vendor Request,High,2025-03-22,,3,Open
T000005,D001,Vendor Request,Medium,2024-11-23,,5,In Progress
T000006,D006,Payroll Issue,High,2024-12-08,2024-12-11,3,Closed
T000007,D002,Onboarding,Low,2024-08-07,2024-08-11,7,Closed
T000008,D012,Onboarding,Low,2026-05-27,,7,Open
T000009,D001,Payroll Issue,Low,2025-09-10,2025-09-15,7,Closed
T000010,D008,Benefits Question,Critical,2025-09-12,2025-09-18,1,Closed
T000011,D003,Payroll Issue,Low,2025-09-10,2025-09-14,7,Closed
T000012,D009,System Support,Critical,2026-03-09,2026-03-10,1,Closed
T000013,D004,Benefits Question,Medium,2024-11-27,2024-11-29,5,Closed
T000014,D007,System Support,High,2025-06-07,,3,In Progress
T000015,D005,IT Access,High,2025-01-18,2025-01-21,3,Closed
T000016,D009,System Support,Low,2025-07-28,2025-07-30,7,Closed
T000017,D003,Payroll Issue,Low,2025-03-06,,7,In Progress
T000018,D007,IT Access,Critical,2024-06-26,2024-06-30,1,Closed
T000019,D005,Benefits Question,Low,2024-12-14,2024-12-15,7,Closed
T000020,D009,Vendor Request,Low,2024-07-23,2024-07-24,7,Closed
T000021,D006,Payroll Issue,High,2024-08-13,,3,Open
T000022,D010,Benefits Question,Medium,2026-02-27,2026-03-01,5,Closed
T000023,D008,Benefits Question,Critical,2026-04-05,2026-04-08,1,Closed
T000024,D004,System Support,Medium,2024-05-31,2024-06-01,5,Closed
T000025,D003,IT Access,Critical,2025-02-05,2025-02-11,1,Closed
T000026,D004,Onboarding,High,2024-07-16,2024-07-19,3,Closed
T000027,D006,IT Access,Critical,2025-12-21,2025-12-24,1,Closed
T000028,D002,Payroll Issue,Medium,2025-06-25,2025-06-29,5,Closed
T000029,D007,Vendor Request,Low,2024-07-23,2024-07-29,7,Closed
T000030,D003,System Support,High,2025-10-04,,3,Open
T000031,D002,IT Access,Medium,2025-10-23,2025-11-05,5,Closed
T000032,D007,System Support,High,2025-05-21,2025-05-24,3,Closed
T000033,D008,System Support,Low,2025-08-29,2025-08-30,7,Closed
T000034,D010,IT Access,Medium,2024-07-13,2024-07-22,5,Closed
T000035,D002,Onboarding,Low,2024-12-24,,7,Open
T000036,D011,Payroll Issue,Medium,2025-07-09,2025-07-13,5,Closed
T000037,D005,Benefits Question,High,2025-03-03,2025-03-06,3,Closed
T000038,D007,System Support,High,2026-04-25,2026-04-29,3,Closed
T000039,D006,Vendor Request,High,2025-03-20,2025-03-24,3,Closed
T000040,D004,IT Access,Medium,2024-10-19,,5,Open
T000041,D010,IT Access,Medium,2025-09-25,2025-09-28,5,Closed
T000042,D003,Vendor Request,Critical,2025-12-27,2026-01-03,1,Closed
T000043,D006,Vendor Request,Low,2025-02-15,2025-02-16,7,Closed
T000044,D009,Benefits Question,Medium,2024-09-06,2024-09-09,5,Closed
T000045,D008,Benefits Question,Critical,2025-04-07,2025-04-09,1,Closed
T000046,D005,IT Access,Low,2025-01-21,2025-01-27,7,Closed
T000047,D011,Benefits Question,Low,2025-02-16,2025-02-18,7,Closed
